product,quantity_sold,dates
chocolate oats protein bar,877,4/30/2022
chocolate oats protein bar,321,4/30/2022
chocolate oats protein bar,489,5/5/2022
chocolate oats protein bar,605,5/6/2022
chocolate oats protein bar,348,5/7/2022
chocolate oats protein bar,298,5/9/2022
chocolate oats protein bar,475,5/10/2022
chocolate oats protein bar,831,5/11/2022
chocolate oats protein bar,124,5/12/2022
chocolate oats protein bar,97,5/12/2022
chocolate oats protein bar,829,5/13/2022
chocolate oats protein bar,415,5/14/2022
chocolate oats protein bar,261,5/15/2022
chocolate oats protein bar,252,5/18/2022
chocolate oats protein bar,394,5/25/2022
chocolate oats protein bar,54,5/27/2022
chocolate oats protein bar,539,5/28/2022
chocolate oats protein bar,396,6/5/2022
chocolate oats protein bar,137,6/11/2022
chocolate oats protein bar,539,6/14/2022
chocolate oats protein bar,295,6/15/2022
chocolate oats protein bar,916,6/15/2022
chocolate oats protein bar,371,6/17/2022
chocolate oats protein bar,581,6/21/2022
chocolate oats protein bar,87,6/21/2022
chocolate oats protein bar,788,6/23/2022
chocolate oats protein bar,491,6/23/2022
chocolate oats protein bar,545,6/24/2022
chocolate oats protein bar,110,6/25/2022
chocolate oats protein bar,982,7/1/2022
chocolate oats protein bar,439,7/3/2022
chocolate oats protein bar,824,7/4/2022
chocolate oats protein bar,527,7/7/2022
chocolate oats protein bar,785,7/8/2022
chocolate oats protein bar,836,7/9/2022
chocolate oats protein bar,744,7/10/2022
chocolate oats protein bar,530,7/12/2022
chocolate oats protein bar,877,7/15/2022
chocolate oats protein bar,999,7/15/2022
chocolate oats protein bar,515,7/18/2022
chocolate oats protein bar,577,7/19/2022
chocolate oats protein bar,116,7/19/2022
chocolate oats protein bar,576,7/20/2022
chocolate oats protein bar,122,7/22/2022
chocolate oats protein bar,367,7/27/2022
chocolate oats protein bar,556,7/28/2022
chocolate oats protein bar,591,7/29/2022
chocolate oats protein bar,947,8/1/2022
chocolate oats protein bar,745,8/2/2022
chocolate oats protein bar,614,8/3/2022
chocolate oats protein bar,80,8/8/2022
chocolate oats protein bar,995,8/9/2022
chocolate oats protein bar,556,8/9/2022
chocolate oats protein bar,472,8/10/2022
chocolate oats protein bar,456,8/11/2022
chocolate oats protein bar,444,8/13/2022
chocolate oats protein bar,928,8/17/2022
chocolate oats protein bar,291,8/20/2022
chocolate oats protein bar,139,8/22/2022
chocolate oats protein bar,947,8/22/2022
chocolate oats protein bar,448,8/22/2022
chocolate oats protein bar,554,8/23/2022
chocolate oats protein bar,283,8/24/2022
chocolate oats protein bar,353,8/28/2022
chocolate oats protein bar,371,8/30/2022
chocolate oats protein bar,938,8/31/2022
chocolate oats protein bar,763,9/1/2022
chocolate oats protein bar,802,9/3/2022
chocolate oats protein bar,135,9/4/2022
chocolate oats protein bar,255,9/5/2022
chocolate oats protein bar,441,9/5/2022
chocolate oats protein bar,487,9/5/2022
chocolate oats protein bar,442,9/6/2022
chocolate oats protein bar,826,9/7/2022
chocolate oats protein bar,87,9/10/2022
chocolate oats protein bar,775,9/12/2022
chocolate oats protein bar,76,9/15/2022
chocolate oats protein bar,141,9/20/2022
chocolate oats protein bar,992,9/21/2022
chocolate oats protein bar,286,9/23/2022
chocolate oats protein bar,637,9/23/2022
chocolate oats protein bar,28,9/28/2022
chocolate oats protein bar,900,9/28/2022
chocolate oats protein bar,676,9/29/2022
chocolate oats protein bar,961,10/9/2022
chocolate oats protein bar,873,10/10/2022
chocolate oats protein bar,309,10/11/2022
chocolate oats protein bar,669,10/15/2022
chocolate oats protein bar,736,10/18/2022
chocolate oats protein bar,14,10/22/2022
chocolate oats protein bar,467,10/31/2022
chocolate oats protein bar,709,11/5/2022
chocolate oats protein bar,999,11/9/2022
chocolate oats protein bar,745,11/10/2022
chocolate oats protein bar,407,11/10/2022
chocolate oats protein bar,847,11/14/2022
chocolate oats protein bar,56,11/15/2022
chocolate oats protein bar,867,11/17/2022
chocolate oats protein bar,134,11/17/2022
chocolate oats protein bar,682,11/19/2022
chocolate oats protein bar,280,11/21/2022
chocolate oats protein bar,920,11/27/2022
chocolate oats protein bar,492,11/30/2022
chocolate oats protein bar,689,11/30/2022
chocolate oats protein bar,523,12/1/2022
chocolate oats protein bar,701,12/2/2022
chocolate oats protein bar,20,12/6/2022
chocolate oats protein bar,77,12/9/2022
chocolate oats protein bar,224,12/10/2022
chocolate oats protein bar,921,12/11/2022
chocolate oats protein bar,746,12/12/2022
chocolate oats protein bar,248,12/13/2022
chocolate oats protein bar,448,12/13/2022
chocolate oats protein bar,370,12/14/2022
chocolate oats protein bar,74,12/15/2022
chocolate oats protein bar,202,12/16/2022
chocolate oats protein bar,308,12/16/2022
chocolate oats protein bar,820,12/16/2022
chocolate oats protein bar,184,12/22/2022
chocolate oats protein bar,535,12/24/2022
chocolate oats protein bar,392,12/25/2022
chocolate oats protein bar,180,12/26/2022
chocolate oats protein bar,28,12/28/2022
chocolate oats protein bar,627,12/28/2022
chocolate oats protein bar,861,12/29/2022
chocolate oats protein bar,843,12/30/2022
chocolate oats protein bar,848,12/31/2022
chocolate oats protein bar,246,1/3/2023
chocolate oats protein bar,545,1/4/2023
chocolate oats protein bar,653,1/7/2023
chocolate oats protein bar,842,1/9/2023
chocolate oats protein bar,844,1/10/2023
chocolate oats protein bar,580,1/10/2023
chocolate oats protein bar,175,1/11/2023
chocolate oats protein bar,521,1/13/2023
chocolate oats protein bar,306,1/16/2023
chocolate oats protein bar,686,1/17/2023
chocolate oats protein bar,557,1/19/2023
chocolate oats protein bar,528,1/19/2023
chocolate oats protein bar,442,1/21/2023
chocolate oats protein bar,148,1/21/2023
chocolate oats protein bar,26,1/23/2023
chocolate oats protein bar,54,1/28/2023
chocolate oats protein bar,64,1/30/2023
chocolate oats protein bar,376,1/30/2023
chocolate oats protein bar,312,1/31/2023
chocolate oats protein bar,703,1/31/2023
chocolate oats protein bar,116,1/31/2023
chocolate oats protein bar,156,2/1/2023
chocolate oats protein bar,566,2/1/2023
chocolate oats protein bar,25,2/2/2023
chocolate oats protein bar,320,2/3/2023
chocolate oats protein bar,614,2/7/2023
chocolate oats protein bar,581,2/9/2023
chocolate oats protein bar,770,2/11/2023
chocolate oats protein bar,905,2/11/2023
chocolate oats protein bar,420,2/15/2023
chocolate oats protein bar,630,2/15/2023
chocolate oats protein bar,831,2/21/2023
chocolate oats protein bar,979,2/21/2023
chocolate oats protein bar,261,2/23/2023
chocolate oats protein bar,846,3/2/2023
chocolate oats protein bar,53,3/3/2023
chocolate oats protein bar,673,3/10/2023
chocolate oats protein bar,481,3/11/2023
chocolate oats protein bar,269,3/15/2023
chocolate oats protein bar,150,3/17/2023
chocolate oats protein bar,121,3/19/2023
chocolate oats protein bar,736,3/20/2023
chocolate oats protein bar,138,3/22/2023
chocolate oats protein bar,237,3/22/2023
chocolate oats protein bar,420,3/25/2023
chocolate oats protein bar,447,3/26/2023
chocolate oats protein bar,105,3/27/2023
chocolate oats protein bar,28,3/28/2023
chocolate oats protein bar,807,4/2/2023
chocolate oats protein bar,308,4/2/2023
chocolate oats protein bar,533,4/10/2023
chocolate oats protein bar,974,4/12/2023
chocolate oats protein bar,372,4/13/2023
chocolate oats protein bar,467,4/16/2023
chocolate oats protein bar,269,4/19/2023
chocolate oats protein bar,910,4/22/2023
chocolate oats protein bar,251,4/23/2023
chocolate oats protein bar,257,4/28/2023
chocolate oats protein bar,367,4/30/2023
chocolate oats protein bar,195,4/30/2023
chocolate oats protein bar,738,5/2/2023
chocolate oats protein bar,494,5/4/2023
chocolate oats protein bar,124,5/4/2023
chocolate oats protein bar,501,5/6/2023
chocolate oats protein bar,118,5/6/2023
chocolate oats protein bar,446,5/8/2023
chocolate oats protein bar,908,5/10/2023
chocolate oats protein bar,537,5/11/2023
chocolate oats protein bar,673,5/13/2023
chocolate oats protein bar,183,5/13/2023
chocolate oats protein bar,8,5/15/2023
chocolate oats protein bar,422,5/17/2023
chocolate oats protein bar,899,5/18/2023
chocolate oats protein bar,278,5/18/2023
chocolate oats protein bar,277,5/20/2023
chocolate oats protein bar,708,5/22/2023
chocolate oats protein bar,185,5/22/2023
chocolate oats protein bar,219,5/23/2023
chocolate oats protein bar,71,5/23/2023
chocolate oats protein bar,387,5/24/2023
chocolate oats protein bar,940,5/25/2023
chocolate oats protein bar,588,5/26/2023
chocolate oats protein bar,321,5/27/2023
chocolate oats protein bar,977,5/29/2023
chocolate oats protein bar,479,5/29/2023
chocolate oats protein bar,262,5/30/2023
chocolate oats protein bar,795,5/30/2023
chocolate oats protein bar,483,5/31/2023
chocolate oats protein bar,228,6/2/2023
chocolate oats protein bar,972,6/5/2023
chocolate oats protein bar,728,6/5/2023
chocolate oats protein bar,146,6/7/2023
chocolate oats protein bar,988,6/7/2023
chocolate oats protein bar,447,6/7/2023
chocolate oats protein bar,390,6/8/2023
chocolate oats protein bar,835,6/9/2023
chocolate oats protein bar,203,6/10/2023
chocolate oats protein bar,772,6/11/2023
chocolate oats protein bar,869,6/21/2023
chocolate oats protein bar,766,6/23/2023
chocolate oats protein bar,97,6/24/2023
chocolate oats protein bar,276,6/26/2023
chocolate oats protein bar,345,6/27/2023
chocolate oats protein bar,232,6/28/2023
chocolate oats protein bar,244,6/28/2023
chocolate oats protein bar,28,7/1/2023
chocolate oats protein bar,216,7/3/2023
chocolate oats protein bar,381,7/4/2023
chocolate oats protein bar,488,7/8/2023
chocolate oats protein bar,99,7/8/2023
chocolate oats protein bar,810,7/14/2023
chocolate oats protein bar,349,7/14/2023
chocolate oats protein bar,934,7/16/2023
chocolate oats protein bar,413,7/23/2023
chocolate oats protein bar,329,7/24/2023
chocolate oats protein bar,267,7/26/2023
chocolate oats protein bar,119,7/29/2023
chocolate oats protein bar,250,7/31/2023
chocolate oats protein bar,639,8/1/2023
chocolate oats protein bar,312,8/1/2023
chocolate oats protein bar,108,8/2/2023
chocolate oats protein bar,19,8/2/2023
chocolate oats protein bar,850,8/4/2023
chocolate oats protein bar,837,8/5/2023
chocolate oats protein bar,616,8/6/2023
chocolate oats protein bar,747,8/6/2023
chocolate oats protein bar,632,8/11/2023
chocolate oats protein bar,952,8/11/2023
chocolate oats protein bar,922,8/12/2023
chocolate oats protein bar,739,8/13/2023
chocolate oats protein bar,976,8/14/2023
chocolate oats protein bar,712,8/15/2023
chocolate oats protein bar,99,8/17/2023
chocolate oats protein bar,40,8/18/2023
chocolate oats protein bar,249,8/19/2023
chocolate oats protein bar,209,8/25/2023
chocolate oats protein bar,716,8/25/2023
chocolate oats protein bar,392,8/26/2023
chocolate oats protein bar,362,8/30/2023
chocolate oats protein bar,349,8/30/2023
chocolate oats protein bar,537,8/30/2023
chocolate oats protein bar,715,8/31/2023
chocolate oats protein bar,178,9/1/2023
chocolate oats protein bar,51,9/1/2023
chocolate oats protein bar,234,9/4/2023
chocolate oats protein bar,708,9/9/2023
chocolate oats protein bar,357,9/10/2023
chocolate oats protein bar,362,9/13/2023
chocolate oats protein bar,959,9/15/2023
chocolate oats protein bar,691,9/16/2023
chocolate oats protein bar,209,9/19/2023
chocolate oats protein bar,819,9/19/2023
chocolate oats protein bar,591,9/20/2023
chocolate oats protein bar,8,9/21/2023
chocolate oats protein bar,600,9/25/2023
chocolate oats protein bar,998,9/26/2023
chocolate oats protein bar,551,9/28/2023
chocolate oats protein bar,995,9/28/2023
chocolate oats protein bar,114,10/5/2023
chocolate oats protein bar,294,10/6/2023
chocolate oats protein bar,80,10/7/2023
chocolate oats protein bar,644,10/8/2023
chocolate oats protein bar,635,10/8/2023
chocolate oats protein bar,243,10/15/2023
chocolate oats protein bar,860,10/15/2023
chocolate oats protein bar,303,10/16/2023
chocolate oats protein bar,316,10/17/2023
chocolate oats protein bar,447,10/21/2023
chocolate oats protein bar,117,10/23/2023
chocolate oats protein bar,958,11/6/2023
chocolate oats protein bar,576,11/9/2023
chocolate oats protein bar,653,11/9/2023
chocolate oats protein bar,560,11/12/2023
chocolate oats protein bar,618,11/13/2023
chocolate oats protein bar,419,11/15/2023
chocolate oats protein bar,833,11/15/2023
chocolate oats protein bar,244,11/16/2023
chocolate oats protein bar,26,11/17/2023
chocolate oats protein bar,888,11/25/2023
chocolate oats protein bar,135,11/25/2023
chocolate oats protein bar,78,11/26/2023
chocolate oats protein bar,424,12/1/2023
chocolate oats protein bar,246,12/3/2023
chocolate oats protein bar,173,12/7/2023
chocolate oats protein bar,268,12/8/2023
chocolate oats protein bar,279,12/9/2023
chocolate oats protein bar,179,12/11/2023
chocolate oats protein bar,289,12/16/2023
chocolate oats protein bar,291,12/17/2023
chocolate oats protein bar,375,12/18/2023
chocolate oats protein bar,521,12/18/2023
chocolate oats protein bar,403,12/19/2023
chocolate oats protein bar,415,12/20/2023
chocolate oats protein bar,303,12/20/2023
chocolate oats protein bar,192,12/30/2023
chocolate oats protein bar,215,1/4/2024
chocolate oats protein bar,242,1/4/2024
chocolate oats protein bar,653,1/5/2024
chocolate oats protein bar,704,1/6/2024
chocolate oats protein bar,116,1/7/2024
chocolate oats protein bar,100,1/9/2024
chocolate oats protein bar,466,1/9/2024
chocolate oats protein bar,647,1/10/2024
chocolate oats protein bar,557,1/11/2024
chocolate oats protein bar,69,1/14/2024
chocolate oats protein bar,942,1/19/2024
chocolate oats protein bar,336,1/20/2024
chocolate oats protein bar,461,1/21/2024
chocolate oats protein bar,298,1/23/2024
chocolate oats protein bar,908,1/24/2024
chocolate oats protein bar,180,1/26/2024
chocolate oats protein bar,754,1/27/2024
chocolate oats protein bar,23,1/28/2024
chocolate oats protein bar,818,2/1/2024
chocolate oats protein bar,186,2/4/2024
chocolate oats protein bar,90,2/5/2024
chocolate oats protein bar,676,2/10/2024
chocolate oats protein bar,908,2/13/2024
chocolate oats protein bar,929,2/14/2024
chocolate oats protein bar,496,2/17/2024
chocolate oats protein bar,102,2/17/2024
chocolate oats protein bar,553,2/18/2024
chocolate oats protein bar,252,2/19/2024
chocolate oats protein bar,809,2/20/2024
chocolate oats protein bar,348,2/23/2024
chocolate oats protein bar,118,2/26/2024
chocolate oats protein bar,88,2/26/2024
chocolate oats protein bar,866,2/26/2024
chocolate oats protein bar,631,3/1/2024
chocolate oats protein bar,494,3/2/2024
chocolate oats protein bar,487,3/4/2024
chocolate oats protein bar,328,3/6/2024
chocolate oats protein bar,530,3/6/2024
chocolate oats protein bar,311,3/7/2024
chocolate oats protein bar,676,3/10/2024
chocolate oats protein bar,702,3/10/2024
chocolate oats protein bar,800,3/13/2024
chocolate oats protein bar,291,3/17/2024
chocolate oats protein bar,504,3/18/2024
chocolate oats protein bar,566,3/19/2024
chocolate oats protein bar,328,3/20/2024
chocolate oats protein bar,935,3/22/2024
chocolate oats protein bar,730,3/23/2024
chocolate oats protein bar,506,3/23/2024
chocolate oats protein bar,284,3/24/2024
chocolate oats protein bar,674,3/24/2024
chocolate oats protein bar,957,3/30/2024
chocolate oats protein bar,793,4/1/2024
chocolate oats protein bar,254,4/6/2024
chocolate oats protein bar,621,4/6/2024
chocolate oats protein bar,810,4/9/2024
chocolate oats protein bar,287,4/9/2024
chocolate oats protein bar,984,4/10/2024
chocolate oats protein bar,49,4/10/2024
chocolate oats protein bar,363,4/11/2024
chocolate oats protein bar,947,4/13/2024
chocolate oats protein bar,240,4/18/2024
chocolate oats protein bar,992,4/18/2024
chocolate oats protein bar,52,4/19/2024
chocolate oats protein bar,884,4/20/2024
chocolate oats protein bar,344,4/21/2024
chocolate oats protein bar,588,4/21/2024
chocolate oats protein bar,677,4/22/2024
chocolate oats protein bar,595,4/23/2024
chocolate oats protein bar,245,4/24/2024
chocolate oats protein bar,667,4/24/2024
chocolate oats protein bar,840,4/27/2024
chocolate oats protein bar,537,4/27/2024
chocolate oats protein bar,672,4/27/2024
chocolate oats protein bar,818,5/2/2024
chocolate oats protein bar,300,5/5/2024
chocolate oats protein bar,971,5/7/2024
chocolate oats protein bar,950,5/8/2024
chocolate oats protein bar,29,5/10/2024
chocolate oats protein bar,830,5/20/2024
chocolate oats protein bar,366,5/21/2024
chocolate oats protein bar,209,5/21/2024
chocolate oats protein bar,74,5/23/2024
chocolate oats protein bar,599,5/28/2024
chocolate oats protein bar,792,6/4/2024
chocolate oats protein bar,18,6/4/2024
chocolate oats protein bar,156,6/7/2024
chocolate oats protein bar,767,6/8/2024
chocolate oats protein bar,690,6/10/2024
chocolate oats protein bar,93,6/17/2024
chocolate oats protein bar,84,6/18/2024
chocolate oats protein bar,313,6/18/2024
chocolate oats protein bar,31,6/20/2024
chocolate oats protein bar,149,6/21/2024
chocolate oats protein bar,773,6/22/2024
chocolate oats protein bar,441,6/23/2024
chocolate oats protein bar,357,6/24/2024
chocolate oats protein bar,313,6/25/2024
chocolate oats protein bar,761,6/26/2024
chocolate oats protein bar,53,6/28/2024
chocolate oats protein bar,420,6/28/2024
chocolate oats protein bar,152,6/30/2024
chocolate oats protein bar,922,6/30/2024
chocolate oats protein bar,182,7/3/2024
chocolate oats protein bar,425,7/4/2024
chocolate oats protein bar,789,7/4/2024
chocolate oats protein bar,515,7/4/2024
chocolate oats protein bar,246,7/6/2024
chocolate oats protein bar,609,7/7/2024
chocolate oats protein bar,960,7/9/2024
chocolate oats protein bar,726,7/10/2024
chocolate oats protein bar,603,7/11/2024
chocolate oats protein bar,710,7/13/2024
chocolate oats protein bar,321,7/16/2024
